2,1135,252,1167,339
2,1227,224,1255,299
2,1306,338,1340,437
2,688,256,719,337
2,473,327,521,438
2,1119,193,1149,247
2,10,227,47,299
2,585,199,609,257
2,963,192,985,250
2,1002,367,1049,497
2,428,208,454,268
2,856,212,880,276
2,336,187,369,241
2,154,211,184,279
2,711,187,732,234
2,738,188,757,237
2,679,223,704,295
2,434,156,449,192
2,1013,177,1036,225
2,420,176,440,228
2,1290,170,1306,204
2,300,154,313,188
2,1013,160,1037,206
2,985,160,1000,187
2,1125,167,1142,198
2,1024,175,1039,208
2,735,154,750,183
2,618,0,673,57
2,1012,160,1033,192
2,859,163,875,191
2,1073,166,1088,194
2,1025,163,1041,200
2,958,159,975,185
2,647,155,667,186
