2,1226,207,1251,263
2,858,228,886,293
2,1383,258,1413,337
2,1792,220,1815,280
2,1764,214,1792,271
2,536,220,561,286
2,1528,211,1550,268
2,1562,237,1589,301
2,1689,216,1715,274
2,1612,211,1632,270
2,1642,211,1670,271
2,1540,199,1561,247
2,1662,213,1689,272
2,792,167,819,199
2,485,168,503,203
2,1574,212,1597,265
2,1577,233,1596,263
2,1575,214,1595,242
2,1646,211,1681,270
2,1662,213,1686,241
2,1657,210,1678,257
2,160,0,210,38
2,775,163,798,193
2,1631,210,1688,274
2,568,163,582,190
2,538,162,558,189
2,432,167,450,198
2,1652,210,1672,248
2,1356,0,1374,9
2,544,164,568,189
2,553,165,571,188
2,689,157,707,197
