1,1311,241,1346,316
1,1172,266,1211,355
1,692,207,719,270
1,1077,207,1098,265
1,1184,201,1223,258
1,543,212,569,275
1,1105,398,1155,536
1,500,346,564,455
1,231,216,261,285
1,790,273,822,363
1,725,233,754,304
1,126,226,155,300
1,444,189,474,242
1,935,225,960,292
1,768,194,798,244
1,1386,367,1434,466
1,537,162,553,193
1,1138,189,1156,234
1,1427,180,1445,215
1,501,178,520,228
1,783,198,812,248
1,1206,175,1221,203
1,1124,191,1148,213
1,1117,168,1132,193
1,444,156,458,190
1,785,159,803,191
1,1125,175,1146,212
1,1131,174,1148,208
1,774,159,803,190
1,796,196,812,222
1,767,164,793,190
1,1090,167,1114,191
1,991,170,1007,197
1,1135,191,1151,219
